Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1979","1979","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1979","1979","3050","FAO TIER 1","t","1649034.4","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1979","1979","3050","FAO TIER 1","kt","0.1154","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1979","1979","3050","FAO TIER 1","kt","4.4524","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1980","1980","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1980","1980","3050","FAO TIER 1","t","1694958.2","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1980","1980","3050","FAO TIER 1","kt","0.1186","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1980","1980","3050","FAO TIER 1","kt","4.5764","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1981","1981","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1981","1981","3050","FAO TIER 1","t","1836821.35","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1981","1981","3050","FAO TIER 1","kt","0.1286","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1981","1981","3050","FAO TIER 1","kt","4.9594","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1982","1982","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1982","1982","3050","FAO TIER 1","t","2004793.05","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1982","1982","3050","FAO TIER 1","kt","0.1403","E","Estimated value",""
