occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex
3.776147,4.154401,1.848398,2.491637,2.79202,1.691998,2.446462,1.885265,3.424793,3.037844,2.709544,3.271423,2.562068,3.466309,3.25762,3.346687
4.751443,2.266393,4.999821,2.128083,12.552179,3.046496,0.989392,0.937899,2.342936,4.702076,31.690098,1.048302,3.426404,17.861528,3.799566,3.325016
2.719699,3.817145,3.748074,3.867506,3.798459,4.597544,4.085228,2.790727,2.419985,2.14047,1.919396,4.18625,4.220976,3.181538,2.729659,3.54677
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022667,0.0,0.0,0.0,0.0
5.904957,4.88466,3.703635,5.070908,4.292583,3.425618,5.634453,4.114722,7.880701,8.697177,7.269326,4.759269,3.792759,5.97294,6.161206,5.628774
0.676991,2.087115,0.565162,0.363343,2.075025,0.500465,1.094321,0.105947,0.866048,1.163191,1.286119,1.145381,1.210596,0.558629,2.641687,1.65414
3.290355,3.834233,2.419047,2.407769,3.336951,4.57616,3.186612,2.610173,2.589681,2.153872,2.162394,3.835748,2.548702,4.267447,2.379402,3.75869
9.907739,5.129994,2.369373,7.131771,2.511016,1.027066,4.611934,2.801103,10.306818,5.988787,9.052486,4.031158,2.057888,9.648648,4.144386,5.468401
13.497422,10.293136,8.999623,10.400949,8.935951,7.317077,10.479828,11.428768,11.508817,10.918998,10.258834,9.251855,9.556845,14.312589,9.545633,10.614938
3.722524,4.754438,6.458188,3.30501,6.130676,8.051942,3.210886,4.184616,3.330469,3.575419,4.532537,5.264927,6.928894,3.073271,4.106671,4.532781
9.890385,6.911626,6.571492,9.016716,6.499981,5.930697,7.448021,6.112228,9.79512,10.49155,9.896424,6.610939,6.968724,8.388869,9.0118,7.691722
3.069448,5.305639,5.353643,4.744027,5.439316,11.184426,3.903218,6.554591,3.602545,2.939447,3.752443,7.652826,5.56817,3.618618,3.726889,4.335139
3.375969,3.262356,2.822677,2.965633,3.115618,1.825532,3.713696,2.215366,3.193859,3.039783,2.321631,3.089952,3.237029,2.282404,3.367643,3.332895
30.464629,22.328211,21.7647,33.682712,22.542793,15.295984,29.714247,17.929024,25.41952,30.160658,22.579812,24.292356,23.062042,25.594525,27.471859,25.107826
5.808883,5.389366,6.22352,5.005991,5.843165,5.253782,5.176324,4.484313,5.483607,5.259069,6.018337,5.929158,5.764101,5.26924,5.012727,5.429502
23.232045,20.262732,22.830181,21.400402,24.558081,20.279103,21.355643,29.028108,26.22095,25.98403,32.948272,20.286615,27.750265,24.613798,27.997196,19.146748
0.78974,0.854438,0.513376,0.826848,0.365912,0.101307,0.971966,0.288326,1.215774,0.451169,0.47425,0.89739,0.585376,1.171106,0.435573,0.657884
1.695336,1.722051,2.446997,1.182683,2.863635,1.49569,1.194671,0.699903,1.268509,1.998654,2.488011,1.015454,2.710639,2.132318,1.82225,1.651376
0.240698,0.163638,0.44801,0.150249,0.548997,0.314256,0.09095,0.110505,0.082055,0.104803,0.125038,0.116751,0.188895,2.742881,0.087668,0.137567
20.303369,22.445475,22.92264,23.563066,21.040152,29.525541,24.876543,19.954661,18.896447,17.41983,14.167927,25.201297,22.369988,19.776364,16.531346,23.013601
1.602444,1.879852,2.184744,2.7675,2.648458,2.407513,2.556617,2.127637,1.808046,1.961302,1.84406,2.805463,3.526634,1.180212,2.263834,1.709877
2.62092,3.62122,5.613866,7.368044,3.751137,6.568001,4.707993,2.729927,2.439011,1.615015,3.641243,5.16122,5.159018,4.312511,2.296206,3.088205
0.299445,0.098043,4.533473,0.982249,1.769587,6.597313,0.409851,1.202826,0.389882,0.098092,0.965799,1.820436,6.429156,0.343047,0.267258,0.207923
25.055558,19.02828,18.860198,19.159336,18.052749,23.536944,18.832735,27.787928,24.425673,30.471449,33.390952,19.047487,13.230746,26.227283,21.125611,19.391279
0.010269,0.010411,0.0,0.009552,0.032247,0.0,0.0,0.011618,0.0,0.0,0.106224,0.011333,0.009741,0.021656,0.0,0.005985
0.005888,0.0,0.0,0.005476,0.006163,0.00681,0.005783,0.006661,0.0,0.0,0.120256,0.0,0.016755,0.006208,0.0,0.005964
7.401808,12.07237,4.83377,5.07689,13.559768,5.088737,9.221664,3.811483,8.736492,12.627827,18.098248,9.224254,8.214063,8.712949,18.557046,11.497562
23.48687,22.900511,18.137727,28.273906,16.654478,16.364633,29.127923,14.306405,25.573666,21.766773,18.256635,27.013208,18.837478,27.079779,20.614465,22.453059
2.28026,3.355469,1.486253,2.557773,1.912272,1.250975,2.880365,1.467154,1.794851,1.251654,1.175758,3.000244,1.681518,1.983999,1.968699,2.794108
68.349033,51.836884,43.981888,61.871688,42.711205,33.337667,61.075325,40.488272,63.050496,61.685866,44.146966,51.163842,37.162246,64.661878,51.437113,56.416682
0.234436,0.077265,0.279389,0.17775,0.159872,4.083375,0.022548,0.086456,0.133233,0.051959,1.207603,0.033667,0.38953,2.184975,0.069431,0.164586
2.48897,1.716706,1.529349,3.139272,2.253285,2.061061,3.272714,1.656942,3.553098,2.994552,3.681789,1.977036,1.925915,2.368131,3.672475,1.963282
7.719198,6.278992,7.375774,6.760001,7.259534,6.126787,6.434151,6.953769,6.307466,6.900095,7.510071,6.716048,8.473411,6.51261,6.894726,6.302829
0.326028,0.296106,0.506451,0.317893,0.444126,0.65751,0.256043,0.239073,0.336775,0.388201,0.572219,0.170901,0.293581,0.670556,0.412079,0.334767
155.712514,198.565366,293.588779,209.88999,265.233979,293.038187,202.256568,305.155511,145.998419,136.111344,136.533964,230.826966,300.527177,151.498562,205.19235,193.660735
1.081045,2.2014,2.397001,1.743401,2.36103,5.379239,1.37072,2.201355,1.21312,1.270496,1.984662,2.662915,2.618715,1.698211,1.416148,2.071519
0.335135,1.257107,4.909939,2.621188,8.250884,12.642967,2.581807,5.680409,0.851706,0.721327,1.798565,3.641032,3.62013,0.722154,2.691317,0.69949
233.66057,156.610565,161.71521,199.647921,147.457305,177.029815,199.096323,187.325861,276.626429,305.596961,250.595314,149.202679,118.303591,233.599944,217.424515,192.40923
0.0,0.0,0.0,0.0,0.0,0.044779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
