ensembl_gene_id,occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex,geneID
ENSG00000172940,0.0,0.0,0.0,0.0,0.014742,0.0,0.0,0.0,0.0,0.0,0.0,0.004411,0.0,0.0,0.0,0.0,ENSG00000172940
ENSG00000172943,5.054925,5.693954,4.589659,6.141922,4.572556,4.166846,5.557201,5.054971,4.240006,3.490032,2.827506,5.989168,4.526147,4.522031,4.431445,5.592514,ENSG00000172943
ENSG00000172954,2.59397,2.147584,1.666133,1.467163,1.890817,1.529127,1.878093,0.629277,2.157675,1.880588,1.759728,1.301428,2.471386,2.42521,1.558592,1.957173,ENSG00000172954
ENSG00000172955,0.023364,0.07016,0.029983,0.038107,0.027237,0.024279,0.008048,0.015533,0.034033,0.061651,0.010631,0.008798,0.012289,0.05067,0.057695,0.046503,ENSG00000172955
ENSG00000172965,0.534635,0.402299,0.749857,0.536123,0.482966,0.287886,0.393216,0.342098,0.60548,0.496187,0.647522,0.368038,0.440166,0.448814,0.553042,0.506774,ENSG00000172965
ENSG00000172967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENSG00000172967
ENSG00000172969,0.0,0.0,0.0,0.0,0.0,0.020346,0.0,0.0191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENSG00000172969
ENSG00000172971,0.0,0.0,0.063863,0.0,0.0,0.0,0.0,0.15849,0.0,0.071101,0.0,0.0,0.099332,0.055206,0.0,0.0,ENSG00000172971
ENSG00000172974,66.774749,60.931009,71.237844,71.298068,63.147514,50.149432,63.059648,54.43031,60.915949,73.496131,59.52557,59.649315,68.521227,57.057087,66.64754,65.591087,ENSG00000172974
ENSG00000172977,18.079526,16.360433,17.865907,18.213145,15.43838,18.997031,19.050352,18.390805,17.008161,17.505074,15.584806,17.102656,16.023891,17.304309,17.423436,16.961346,ENSG00000172977
ENSG00000172985,2.290577,4.995585,6.590478,5.64036,4.174929,2.726964,9.610455,3.032167,2.671794,2.197808,1.675073,7.974218,5.985638,2.572027,2.701337,3.937992,ENSG00000172985
ENSG00000172986,0.942543,0.887379,0.598399,0.574685,1.081386,0.380383,0.520608,0.55021,1.463398,0.7216,2.333957,0.504619,0.585208,1.369191,0.698387,0.913382,ENSG00000172986
ENSG00000172987,0.0,0.015402,0.018531,0.014131,0.015902,0.017573,0.0,0.0,0.019059,0.0,1.872452,0.0,0.043038,0.016019,0.039117,0.0,ENSG00000172987
